year,utility_id_irp,technology_chart,capacity_mw,net_generation_mwh,emissions_co2
2005,10000,Coal,2455.5,11467084.614350459,11.700896320960636
2005,10000,Demand Response/ Demand-Side Management,47.0,0.0,0.0
2005,10000,Gas,932.0,355969.25943243847,0.18409280276260534
2005,10000,Nuclear,580.779,3167665.261761408,0.0
2005,10000,Oil,486.0,5377.439987047459,0.008106970011389698
2005,10000,Purchases,0.0,600107.1742067068,0.5234558470099927
2005,10005 and 22500,Coal,2019.0,8535964.63815272,8.921605238920629
2005,10005 and 22500,Demand Response/ Demand-Side Management,143.0,0.0,0.0
2005,10005 and 22500,Gas,1759.6,1319625.784998865,0.8960066932309921
2005,10005 and 22500,Nuclear,580.779,2880627.0795070026,0.0
2005,10005 and 22500,Oil,91.9,-54.1589979770652,2.2327008853053384e-06
2005,10005 and 22500,Purchases,0.0,1594166.0178518316,1.3054636119282426
2005,10005 and 22500,Wind,1.176,454.0806023785087,0.0
2005,10171 and 11249,Coal,6235.235,24001495.27657923,23.424571359492123
2005,10171 and 11249,Demand Response/ Demand-Side Management,106.0,58350.34595010067,0.0
2005,10171 and 11249,Gas,2542.6,605579.6968983914,0.37101272550014536
2005,10171 and 11249,Hydro,108.2,157726.55968964504,0.0
2005,10171 and 11249,Oil,62.4,1921.7520813920796,0.0010826766851540347
2005,10171 and 11249,Purchases,0.0,8985667.610363979,8.540050696410784
2005,10331,Demand Response/ Demand-Side Management,4.0,8417.0,0.0
2005,10331,Purchases,0.0,2154987.9999999995,1.893276232277693
2005,11118,Hydro,18.0,51195.4401172176,0.0
2005,11118,Purchases,0.0,174728.1621978862,0.08061059503794879
2005,11241,Demand Response/ Demand-Side Management,0.0,0.0,0.0
2005,11241,Gas,5746.2,9279666.86015895,5.567278351635512
2005,11241,Nuclear,1199.8,7183840.373857548,0.0
2005,11241,Purchases,0.0,13142705.44134599,9.87794042627357
2005,11479,Coal,412.56,1821944.1569575623,1.9350099282074966
2005,11479,Demand Response/ Demand-Side Management,1.0,32850.0822704986,0.0
2005,11479,Gas,366.9,282666.795791929,0.15332170820113372
2005,11479,Oil,54.0,818.2957858597923,0.0006443789026865013
2005,11479,Purchases,0.0,1247470.6403927538,0.7730094825349065
2005,11479,Wind,11.0,17769.78964345704,0.0
2005,1167,Demand Response/ Demand-Side Management,396.0,638124.0,0.0
2005,1167,Purchases,0.0,24161712.999999996,14.25223454877852
2005,1179,Oil,20.0,674.8891377705037,0.0005532975609029078
2005,1179,Purchases,0.0,337832.61020695826,0.12020173528115664
2005,11804,Demand Response/ Demand-Side Management,348.0,1989566.5193844242,0.0
2005,11804,Purchases,0.0,15512916.713726327,5.987180531460037
2005,12087,Demand Response/ Demand-Side Management,0.0,0.0,0.0
2005,12087,Purchases,0.0,294621.00000000006,0.05539157418451107
2005,12199,Coal,277.5,1315219.1888640614,1.5925603102197972
2005,12199,Demand Response/ Demand-Side Management,29.0,0.0,0.0
2005,12199,Gas,117.0,8348.964589967924,0.007831813914043195
2005,12199,Oil,1.8,0.0,0.0
2005,12199,Purchases,0.0,767581.9124256666,0.795110725165759
2005,12341,Coal,3024.3718,12983167.286313947,13.425753691158501
2005,12341,Demand Response/ Demand-Side Management,448.0,487065.30970175227,0.0
2005,12341,Gas,1498.1999999999998,529723.1265443511,0.23907177750821834
2005,12341,Hydro,3.6,12797.053445761125,0.0
2005,12341,Oil,56.0,-720.4565528406024,0.0006690175719982855
2005,12341,Purchases,0.0,6813102.592647537,4.166420735358636
2005,12341,Wind,360.5,434136.049767665,0.0
2005,12390,Demand Response/ Demand-Side Management,48.0,6094.148989567614,0.0
2005,12390,Hydro,19.6,117774.5749716964,0.0
2005,12390,Purchases,0.0,14500807.65961059,7.581074840397499
2005,12465,Nuclear,1235.25,0.0,0.0
2005,12524,Demand Response/ Demand-Side Management,0.0,0.0,0.0
2005,12524,Gas,16.0,-255.11627522877274,9.729037600367573e-05
2005,12524,Oil,4.0,-54.85329477762006,6.115158891006211e-05
2005,12524,Purchases,0.0,1289041.5435110792,1.1954924916584775
2005,12524,RICE,15.5,66.17240828908943,0.0001560949765463271
2005,12647,Bioenergy,126.9,221250.41140368176,0.11965723236060853
2005,12647,Coal,1666.8545,8489188.864126887,9.195719131497578
2005,12647,Demand Response/ Demand-Side Management,143.0,822366.5639924654,0.0
2005,12647,Hydro,121.5,384795.2452680046,0.0
2005,12647,Oil,0.6400000000000001,0.0,0.0
2005,12647,Purchases,0.0,3445384.0000552908,2.5895199470206522
2005,12685,Coal,425.0,2345827.549500009,2.3565612898048203
2005,12685,Demand Response/ Demand-Side Management,0.0,0.0,0.0
2005,12685,Gas,2739.2,2614635.2831213856,1.8592912738133869
2005,12685,Oil,10.0,0.0,0.0
2005,12685,Purchases,0.0,9464347.021107452,5.0112502566744
2005,12686,Coal,1369.68,4885869.571302369,4.558351036624831
2005,12686,Demand Response/ Demand-Side Management,0.0,11316.701047482922,0.0
2005,12686,Gas,1699.1,2247667.750953733,1.5113548393689822
2005,12686,Purchases,0.0,1510675.1075419686,0.9955247825809656
2005,12698 and 56211,Coal,172.8,1098890.9931115052,1.1751553408775748
2005,12698 and 56211,Demand Response/ Demand-Side Management,1.0,82.53076409825512,0.0
2005,12698 and 56211,Purchases,0.0,5101374.358743346,3.746825782319296
2005,13032,Purchases,0.0,154698.53441084464,0.15198022045287857
2005,1307,Coal,2247.135,902985.2680266841,0.9335545023940405
2005,1307,Gas,122.5,250.76298803549295,0.0001811186878085752
2005,1307,Oil,135.0,8.626546862853582,9.486913756078066e-06
2005,1307,Purchases,0.0,85267.91631568258,0.08139601928713068
2005,1307,Wind,5.2,594.5847425221831,0.0
2005,13206,Demand Response/ Demand-Side Management,0.0,0.0,0.0
2005,13206,Purchases,0.0,135638.0,0.04826035876192546
2005,13214,Demand Response/ Demand-Side Management,113.0,679121.6283594744,0.0
2005,13214,Purchases,0.0,7122865.057437251,1.971504312180233
2005,13407,Coal,701.1909,5839182.0022447,5.779345095994874
2005,13407,Demand Response/ Demand-Side Management,73.0,165063.01304457107,0.0
2005,13407,Gas,1035.0,2265625.7977121063,1.1215875271296842
2005,13407,Purchases,0.0,12967966.951811152,5.927542790119966
2005,13433,Oil,78.42348,5243.771334362693,0.004337409964321121
2005,13433,Purchases,0.0,72823.83111910218,0.01099188746057498
2005,13478,Demand Response/ Demand-Side Management,0.0,0.0,0.0
2005,13478,Gas,959.2,1159522.0068162158,0.6824787178554538
2005,13478,Oil,0.0,9.071675370124558,5.3830229388339864e-05
2005,13478,Purchases,0.0,3690889.978128778,1.6448402460970024
2005,13511,Demand Response/ Demand-Side Management,0.0,0.0,0.0
2005,13511,Gas,7.0,57.63227816336445,0.00012852892259342759
2005,13511,Hydro,59.9,239533.5482684516,0.0
2005,13511,Oil,1.7,95.09444765014695,0.00012874325846025386
2005,13511,Purchases,0.0,10468946.300979713,3.6958239426396684
2005,13573,Demand Response/ Demand-Side Management,0.0,0.0,0.0
2005,13573,Purchases,0.0,23984287.51869628,3.0206897002159865
2005,13697,Hydro,0.30000000000000004,0.0,0.0
2005,13697,Oil,6.3999999999999995,-107.99900000000002,0.000118709420872028
2005,13697,Purchases,0.0,35622.0,0.026773178127979164
2005,13756,Coal,3086.9,15050135.133863423,15.925057720490678
